ID,Label
501,1
502,0
503,0
504,0
505,1
506,0
507,0
508,0
509,1
510,0
511,0
512,0
513,1
514,1
515,0
516,0
517,0
518,1
519,0
520,0
521,0
522,1
523,0
524,0
525,0
526,1
527,0
528,0
529,0
530,1
531,0
532,0
533,0
534,1
535,0
536,0
537,0
538,1
539,1
540,0
541,1
542,0
543,0
544,0
545,1
546,0
547,0
548,0
549,1
550,0
551,0
552,0
553,1
554,1
555,0
556,0
557,0
558,1
559,0
560,0
561,0
562,1
563,0
564,0
565,0
566,1
567,0
568,0
569,0
570,1
571,0
572,0
573,0
574,1
575,0
576,0
577,0
578,1
579,1
580,0
581,1
582,0
583,0
584,0
585,1
586,0
587,0
588,0
589,1
590,0
591,0
592,0
593,1
594,1
595,0
596,0
597,0
598,1
599,0
600,0
601,0
602,1
603,0
604,0
605,0
606,1
607,0
608,0
609,0
610,1
611,0
612,0
613,0
614,1
615,0
616,0
617,0
618,1
619,1
620,0
621,1
622,0
623,0
624,0
625,1
626,0
627,0
628,0
629,1
630,0
631,0
632,0
633,1
634,1
635,0
636,0
637,0
638,1
639,0
640,0
641,0
642,1
643,0
644,0
645,0
646,1
647,0
648,0
649,0
650,1
651,0
652,0
653,0
654,1
655,0
656,0
657,0
658,1
659,1
660,0
661,1
662,0
663,0
664,0
665,1
666,0
667,0
668,0
669,1
670,0
671,0
672,0
673,1
674,1
675,0
676,0
677,0
678,1
679,0
680,0
681,0
682,1
683,0
684,0
685,0
686,1
687,0
688,0
689,0
690,1
691,0
692,0
693,0
694,1
695,0
696,0
697,0
698,1
699,1
700,0
701,1
702,0
703,0
704,0
705,1
706,0
707,0
708,0
709,1
710,0
711,0
712,0
713,1
714,1
715,0
716,0
717,0
718,1
719,0
720,0
721,0
722,1
723,0
724,0
725,0
726,1
727,0
728,0
729,0
730,1
731,0
732,0
733,0
734,1
735,0
736,0
737,0
738,1
739,1
740,0
741,1
742,0
743,0
744,0
745,1
746,0
747,0
748,0
749,1
750,0
751,0
752,0
753,1
754,1
755,0
756,0
757,0
758,1
759,0
760,0
761,0
762,1
763,0
764,0
765,0
766,1
767,0
768,0
769,0
770,1
771,0
772,0
773,0
774,1
775,0
776,0
777,0
778,1
779,1
780,0
781,1
782,0
783,0
784,0
785,1
786,0
787,0
788,0
789,1
790,0
791,0
792,0
793,1
794,1
795,0
796,0
797,0
798,1
799,0
800,0
801,0
802,1
803,0
804,0
805,0
806,1
807,0
808,0
809,0
810,1
